English,Armenian
Electrical circuits,Էլեկտրական շղթա
Electrical conductance,Էլեկտրական դիմադրություն
Electricity generation,Էլեկտրաէներգիայի արտադրություն
"Electricity generation, transmission and distribution","Էլեկտրաէներգիայի արտադրություն, փոխանցում և բաշխում"
Electricity transmission and distribution,Էլեկտրաէներգիայի փոխանցում և բաշխում
Electrodynamics,Էլեկտրադինամիկա
Electromagnetic radiation,Էլեկտրամագնիսական ճառագայթում
Electromagnetism,Էլեկտրամագնիսականություն
Electronic,Էլեկտրոնիկա
Electronic instruments,Էլեկտրոնային սարքավորումներ
Electronic music,Էլեկտրոնային երաժշտություն
Electronics,Էլեկտրոնիկա
Electronics,Էլեկտրոնիկա
Electrostatics,Էլեկտրաստատիստիկա
Elementary algebra,Տարրական հանրահաշիվ
Emotions and traits,Զգացմունքներ և հատկություններ
Employment,Զբաղվածություն
Energy,Էներգիա
Energy and fuel,Էներգիա և վառելիք
Engineering,Ինժեներություն
England and Scotland,Անգլիա և Շոտլանդիա
Entertainers,Զվարճացնողներ
Entertainment,Ժամանց
Entertainment and leisure,Ժամանց
Epic and historical films,Էպիկական և պատմական ֆիլմեր
Epistemology,Համաճարակաբանություն
Equestrianism,Ձիասպորտ
Equidae,Ձիազգիներ
Equivalent dose,Համարժեք դոզա
Ericales,Հավամրգածաղկավորներ
Erinaceids,Ոզնիներ
Esociformes,Գայլաձկնակերպեր
Espionage,Լրտեսություն
eSports,Կիբեռսպորտ
Essays,Էսսեներ
Estonia,Էստոնիա
Eswatini,Էսվատինի
Ethics,Բարոյագիտություն
Ethiopia,Եթովպիա
Ethiopia and Eritrea,Եթովպիա և Էրիթրեա
Ethnology,Ազգաբանություն
Ethnology and Anthropology,Ազգաբանություն և մարդաբանություն
Ethology,Էթոլոգիա
Euclidean geometry,Էվկլիդյան երկրաչափություն
Eukaryotes,Էուկարիոտներ
Europe and Russia,Եվրոպա և Ռուսաստան
Even-toed ungulates,Երկսմբակավորներ
Events,Իրադարձություններ
Evolutionary biology,Էվոլուցիոն կենսաբանություն
Excavata,
Exhibition basketball,Ընկերական բասկետբոլ
Explorers,Հետազոտողներ
Explosive weapons,Պայթուցիկ զենքեր
Exposure,Ճառագայթման ազդեցություն
Fabales,Բակլածաղկավորներ
Fabrics and fibers,Գործվածքներ և մանրաթելեր
Fagales,Հաճարածաղկավորներ
Family and children's films,Ընտանեկան և մանկական ֆիլմեր
Family and kinship,Ընտանիք և ազգակիցներ
Family members,Ընտանիքի անդամներ
Family-in-law,Խնամիներ
"Fandom, conventions and festivals",Երկրպագուների  խմբի հավաքներ և փառատոններ
Far East,Հեռավոր Արևելք
Fashion,Նորաձևություն
Federal district,Դաշնային շրջան
Federated States of Micronesia,Միկրոնեզիայի Դաշնային Նահանգներ
Felines,Փոքր կատուներ
Fencing,Սուսերամարտ
Fermions,Ֆերմիոններ
"Festivals, holidays, and observances",Փառատոններ և տոներ
Fiction,Գեղարվեստական գրականություն
Fiction of early printed book era,Վաղ տպագրության դարաշրջանի գեղարվեստական գրականություն
Fiction of the medieval era,Միջնադարյան շրջանի գեղարվեստական գրականություն
Fictional characters,Գեղարվեստական գրականության կերպարներ
Field hockey,Դաշտային հոկեյ
Fields of medicine,Բժշկության ոլորտներ
Figure skating (30/30 quota),Գեղասահք
Figures fabrics,Պատկերներով գործվածքներ
Fiji,Ֆիջի
Film,Ֆիլմեր
Film festival and awards,Կինոփառատոն և մրցանակաբաշխություն
Film genres,Ֆիլմի ժանրեր
Film noir,Նուար ֆիլմ
"Film, television and video game music","Ֆիլմեր, հեռուստատեսություն և վիդեոխաղերի երաժշտություն"
"Film, television, animation, comics, and video games","Ֆիլմեր, հեռուստատեսություն, անիմացիաներ, կոմիքսներ և վիսեոխաղեր"
Filmmaking,Ֆիլմարտադրություն
Finland,Ֆինլանդիա
Finnish,Ֆինլանդերեն
Firearms,Հրազեն
First-degree relatives,Հարազատներ
Fish by habitat,Ձկներ ըստ բնակության վայրի
Fishes,Ձկներ
Fishing,Ձկնորսություն
Flamenco,Ֆլամենկո
Flautists,Ֆլեյտահարներ
Flies (Diptera),Ճանճեր
Floorball,Ֆլորբոլ
Fluid mechanics,Հիդրոմեխանիկա
Fluvial landforms,Գետային հողեր
Folk,Ազգային երգեր
Folk and Country,Ազգային և քանթրի երաժշտություն
Folk and country,Ազգային և քանթրի երաժշտություն
Food preparation and serving,Սննդի պատրաստում և սպասարկում
Food service,Սննդի ծառայություն
Food types,Սննդի տեսակներ
Foodborne illness,Սննդից առաջացած հիվանդություններ
Footwear,Կոշկեղեն
Force,Ուժ
Forensic sciences,Դատաբժշկական գիտություններ
Forests,Անտառներ
Forms,Տեսակներ
Forms of government,Կառավարության տեսակներ
Forms of literature,Գրականության տեսակներ
Fortification,Ամրությունների կառուցում
Four-dimensional space,Քառաչափ տարածություն
France,Ֆրանսիա
France,Ֆրանսիա
French,Ֆրանսերեն
Frisbee sports,Ֆրիսբի 
Frogs and toads,Գորտեր և դոդոշներ
Functions,Ֆունկցիաներ
"Functions: General","Ֆունկցիաներ, ընդհանուր"
"Geometry: General","Երկրաչափություն, ընդհանուր"
Non-Euclidean geometry,Ոչէվկլիդյան երկրաչափություն
Fungal morphology and anatomy,Սնկերի մորֆոլոգիա և անատոմիա
Fungi,Սնկեր
Furniture and interior design,Կահույք և ինտերիերի դիզայն
Furniture designers,Կահույքի դիզայներներ
Futsal,Ֆուտզալ
"Algebra: General","Հանրահաշիվ, ընդհանուր"
Set theory,Բազմությունների տեսություն
Axiomatic systems,Աքսիոմատիկ համակարգեր
Computability theory,Հաշվարկելիության տեսություն
Category theory,Կատեգորիաների տեսություն
Order theory,Կարգերի տեսություն
Prime numbers,Պարզ թվեր
Sums and products,Գումարներ և արտադրյալներ
Sequences,Հաջորդականություններ
Diophantine equations,Դիոֆանտյան հավասարումներ
Subdisciplines,Ենթաբաժիններ
Applied mathematics,Կիրառական մաթեմատիկա
Game theory,Խաղերի տեսություն
Information theory,Ինֆորմատիկայի տեսություն
Optimization,Օպտիմիզացիա
Algorithms,Ալգորիթմներ
Complexity theory,Բարդության տեսություն
Data structures and types,Տվյալների կառուցվածքներ և տեսակներ
Gadiformes,Ձողաձկներ
Gaelic sports,Գալական սպորտաձևեր
Galactic and extragalactic astronomy,Գալակտիկական և արտագալակտիկական աստղագիտություն
Galaxy classification,Գալակտիկայի դասակարգում
Galliformes,Հավազգիներ
Gambling,Մոլախաղ
Games,Խաղեր
Gasterosteiformes,Փշաձկներ
Gastrointestinal tract,Աղեստամոքսային տրակտ
General,Ընդհանուր
General classifications,Ընդհանուր դասակարգում
General concepts,Ընդհանուր հասկացություններ
General video game topics,Ընդհանուր վիդեոխաղերի թեմաներ
Genetics,Գենետիկա
Genres,Ժանրեր
Genres,Ժանրեր
Gentianales,Բոգածաղկավորներ
Geochemistry,Երկրաքիմիա
Geochronology,Երկրաբանական ժամանակագրություն
Geographers and cartographers,Աշխարհագրագետներ և քարտեզագետներ
Geography by continent,Աշխարհագրություն ըստ աշխարհամասի
Geography by country,Աշխարհագրություն ըստ երկրի
Geologic features,Երկրաբանական առանձնահատկություններ
Geological timescale,Երկրաբանական ժամանակաշրջան
Geometry,Երկրաչափություն
Geomorphology,Գեոմորֆոլոգիա
Geophysics,Երկրաֆիզիկա
Georgia,Վրաստան
German,Գերմաներեն
Germanic languages,Գերմանական լեզուներ
Germany,Գերմանիա
Germany,Գերմանիա
"Germany, Prussia","Գերմանիա, Պրուսիա"
Geysers and hot springs,Գեյզերներ և տաք ջրեր
Ghana,Գանա
Glacial landforms,Սառցադաշտային հողեր
Glaciers and sea ice,Սառցադաշտեր
Glaciology,Սառցադաշտագիտություն
Go 6/6,Գո
Goats,Այծեր
Golf,Գոլֆ
Golf (35/35 quota),Գոլֆ
Gonorynchiformes (2 articles,
Governing authorities,Կառավարման մարմիններ
Grains,Հացահատիկներ
Grains-based products,Հացահատիկային արտադրանքներ
Gram-negative bacteria,Գրամբացասական բակտերիա
Gram-positive bacteria,Գրամդրական բակտերիա
Grammar,Քերականություն
Graph theory,Գրաֆիկ տեսություն
Graphic designers,Գրաֆիկական դիզայներներ
Grasslands,Խոտհարքներ
Great Britain,Մեծ Բրիտանիա
Greece,Հունաստան
Greek and Roman mythology,Հունահան և հռոմեական առասպելաբանություն/դիցաբանություն
Greek deities,Հունական աստվածություններ
Green algae,Կանաչ ջրիմուռներ
Grenada,Գրենադա
Grime/British hip-hop,Բրիտանական հիփ-հոփ
Ground transport,Ցամաքային տրանսպորտ
Ground-based observatories,Ցամաքային աստղադիտարաններ
Groups,Խմբեր
Gruiformes,Կռունկանմաններ
Guadeloupe,Գվադելուպա
Guatemala,Գվատեմալա
Guitarists,Կիթառահարներ
Guyana,Գայանա
Gymnosperms,Մարմնամարզություն
Gymnotiformes,
Hairstyle,Սանրվածք
Haiti,Հայիթի
Hand tools,Շինարարական գործիքներ
Handball,Հանդբոլ
Harmonic analysis,Հարմոնիկ անալիզ
Harpists,Տավիղահարներ
Harpsichordists,Կլավեսինահարներ
Hawaii,Հավայի
Health and fitness,Առողջություն և լավ մարզավիճակ
Heavy Metal,Ծանր մետաղներ
Hebrew,Եբրայերեն
Hellenistic Kingdoms,Հելլենական թագավորություններ
Hemiptera (true bugs),Կիսակարծրաթևավորներ
Heraldry and vexillology,Գերբագիտություն և վեքսիլոլոգիա
Herbs and condiments,Խոստաբույսեր և համեմունքներ
Herbs and spices,Խոտաբույսեր և համեմունքներ
Hexapoda,Վեցոտնանիներ
High-energy astronomy,Բարձր էներգետիկ աստղագիտություն
High-speed rail,Արագընթաց երկաթուղի
Hinduism,Հինդուիզմ
Hindustani classical,Հինդուստանի դասական երաժշտություն
Hip-hop,Հիփ-հոփ
Hip-hop and rap,Հիփ-հոփ և ռեփ
Historians,Պատմաբաններ
Historical cities and archaeological sites,Պատմական քաղաքներ և հնագիտական վայրեր
Historical fiction,Պատմական գրականություն
Historical geology,Պատմական երկրաբանություն
History,Պատմություն
History by city,Պատմությունն ըստ քաղաքի
History by continent and region,Պատմություն ըստ մայրցամաքի և տարածաշրջանի
History by country and subdivision,Պատմություն ըստ երկրի և ստորաբաժանման
History by demographic group,Պատմություն ըստ ժողովրդագրական խմբի
History by ethnicity,Պատմություն ըստ ազգության
History by provinces and territories,Պատմություն ըստ մարզերի և տարածքների
History by states and territories,Պատմություն ըստ նահանգի և տարածքների
History by time period,Պատմություն ըստ ժամանակաշրջանի
History by topic,Պատմություն ըստ թեմայի
History of art,Արվեստի պատմություն
History of art,Արվեստի պատմություն
History of earth science,Երկրագիտության պատմություն
History of everyday life,Առօրյա կյանքի պատմություն
History of games and sport,Խաղերի և սպորտաձևերի պատմություն
History of mathematics,Մաթեմատիկայի պատմություն
History of philosophy,Փիլիսոփայության պատմություն
History of philosophy and religion,Փիլիսոփայության և կրոնի պատմություն
History of science,Գիտության պատմություն
History of science and technology,Գիտության և տեխնիկայի պատմություն
History of society and the social sciences,Հասարակության և սոցիալական գիտությունների պատմություն
History of technology,Տեխնոլոգիայի պատմություն
History of world literature,Համաշխարհային գրականության պատմություն
Hittites,Խեթեր
Hobbyists,Հոբբիով զբաղվողներ
Hokkaido,Հոկկայդո
Holosteans,
Holy Roman Empire,Սրբազան Հռոմեական կայսրություն
"Holy Roman Empire, Austria","Սրբազան Հռոմեական կայսրություն, Ավստրիա"
Home living,Տուն
Homeopathy,Հոմեոպաթիա
Homo,Մարդկություն
Honduras,Հոնդուրաս
Hong Kong,Հոնկոնգ
Hong Kong,Հոնկոնգ
Hormones,Հորմոններ
Horn players,Երաժիշտներ
Horror and gothic novels,Սարսափ և գոթական վեպեր
Horror and thriller,Սարսափ և թրիլլեր
Horses,Ձիեր
Horticulture,Այգեգործություն
Hosiery,Գուլպեղեն
Hot drinks,Տաք խմիչքներ
Household appliances,Կենցաղային տեխնիկա
Household items,Կենցաղային իրեր
Housing,Բնակարանային ապահովում
Human anatomy,Մարդու անատոմիա
Human evolution,Մարդկային էվոլուցիա
Human reproduction,Մարդկային վերարտադրություն
Human rights instruments,Մարդկու իրավունքների գործիքներ
Humanitarian organizations,Մարդասիրական կազմակերպություններ
Humanities,Հումանիտար գիտություններ
Hungarian,Հունգարական
Hunting,Որսորդություն
Hybrids,Հիբրիդներ
Hydraulic infrastructure,Ջրաբաշխական ենթակառուցվածք
Hydrocarbons,Ածխաջրածիններ
Hydrology,Ջրաբանություն
Hygiene and grooming,Հիգիենա և խնամք
Hygiene products,Հիգիենայի պարագաներ
Hymenoptera,Թաղանթաթևավորներ
Iberia,Իբերիա
Ice hockey,Հոկեյ
Ice hockey (45/45 quota),Հոկեյ (45/45 մաս)
Iceland,Իսլանդիա
Icelandic,Իսլանդական
Ideology and political theory,Գաղափարախոսություն և քաղաքական տեսություն
Illuminance,Լուսավորվածություն
Imaging,Պատկերում
Immune system,Իմունային համակարգ
Incendiary weapons,Հրկիզիչ զենքեր
Inchoate offenses,Հանցագործության  
India,Հնդկաստան
India,Հնդկաստան
Indian,Հնդիկներ
Indian Buddhism,Բուդդիզմը Հնդկաստանում / Հնդկական բուդդայականություն
"Indian, Pakistani, Bangladeshi and Nepali languages","Հնդկաստանի, Նեպալի, Պակիստանի և Բանգլադեշի (Բենգալի) լեզուներ"
Indigenous Australian,Ավստրալիայի աբորիգեններ
Indigenous Australian music,Ավստրալիական տեղական երաժշտություն
Indigenous people,Տեղաբնիկ ժողովուրդներ
Individual animals,Հայտնի կենդանիներ 
Individual fashion designs,Անհատական նորաձևության դիզայներներ
Individual trade unions,Հայտնի արհեստակցական միություններ
Individual transportation systems,Անհատական տրանսպորտային համակարգ
Indo-Aryan languages,Հնդարիական լեզուներ
Indo-European languages,Հնդեվրոպական լեզուներ
Indo-Iranian mythology,Հնդիրանական լեզուներ
Indonesia,Ինդոնեզիա
Indonesian,Ինդոնեզերեն
Inductance,Ինդուկտիվություն
Industrial machinery,Արդյունաբերական մեքենաներ / մեխանիկա
Industry,Արդյունաբերություն
Industry,Արդյունաբերություն
Information,Ինֆորմացիա / տեղեկատվություն
Infrastructure,Ինֆրակառուցվածք
Infrastructure by type,Ենթակառուցվածքը / ինֆրակառուցվածքը ըստ տեսակի
Injury,Վնասվածք / Տրավմա
Inorganic compounds,Անօրգանական միացություններ
Insects,Միջատներ
Institutions,Հաստատություններ
Institutions and professions,Հաստատություններ և մասնագիտություններ
Instrument makers,Երաժշտական գործիքներ պատրաստողներ
Instrumental methods,Գործիքային / գործիական մեթոդներ
Integral calculus,Ինտեգրալ հաշվարկ
Integumentary system,Մաշկի պաշտպանիչ համակարգ
Intellectual property law,Մտավոր սեփականության իրավունք
International competitions,Միջազգային մրցումներ
International law,Միջազգային իրավունք
International organizations,Միջազգային կազմակերպություններ
International Ski Federation sports,Դահուկի միջազգային ֆեդերացիայի մարզաձևեր
Internet,Համացանց
Interpersonal relations,Միջանձնային կապեր
Interpersonal relationships,Միջանձնային հարաբերություններ
Inventors and engineers,Գյուտարարներ և ճարտարագետներ
"Invertebrata, others",Անողնաշարավորներ
Iran,Իրան
Iranian languages,Իրանական լեզուներ
Iraq,Իրաք
Ireland,Իռլանդիա
Islam,Իսլամ
Islamic holidays,Իսլամական տոներ
Islands,Կղզիներ
Issues,Թողարկումներ
Italian,Իտալերեն
Italy,Իտալիա
Italy,Իտալիա
Ivory Coast,Կոտ դ'Իվուար
Ivy League,Բաղեղի լիգա
Jainism,Ջայնիզմ
Jamaica,Ջամայկա /  Ճամայկա
Japan,Ճապոնիա
Japanese,Ճապոներեն
Japanese Buddhism,Բուդդիզմը Ճապոնիայում
Japonic languages,Ճապոնական լեզուներ
Java,Ջավա
Jazz,Ջազ
Jazz and related genres,Ջազ և հարակից ժանրեր
Jewellery designers,Զարդերի դիզայներներ
Jewelry,Ակնագործություն
Jewish holidays,Հրեական տոներ
Journalism,Լրագրություն / Ժուռնալիստիկա
Journalism and Mass Media,Լրագրություն և զանգվածային լրատվամիջոցներ
Journalists,Լրագրողներ
Jurists,Իրավաբաններ
Kabaddi,Կաբբադի
Kalimantan,Կալիմանտան
Kansai,Կինկի
Kantō,Կանտո
Kazakh,Ղազախերեն
Kazakhstan,Ղազախստան
Kenya,Քենիա
Kiribati,Կիրիբատի
Klezmer,
Knives,Դանակներ
Korea,Կորեա
Korea,Կորեա
Korean,Կորերեն
Korean Buddhism,Բուդդիզմը Կորեայում
Koreanic languages,Կորեական լեզուներ
Kra–Dai languages,Թայ-քադայան լեզուներ
Kuwait,Քուվեյթ
Kyrgyzstan,Ղրղզստան
Kyushu,Կյուսյու
Lacrosse,Լաքրոս
Lagomorphs,Նապաստականմաններ
Lakes,Լճեր
Lalon,Լալոն
Lamiales,
Lampriformes (4 articles,
Land relief,Ռելիեֆ
Landforms,Ռելիեֆի ձևեր
Language,Լեզու
Language acquisition,Լեզվի յուրացում
Language families,Լեզվաընտանիքներ
Language isolates,Մեկուսացված լեզուներ
Language mechanics,Լեզվական ճյուղեր / մակարդակներ
Laos,Լաոս
Latin,Լատիներեն
Latin America,Լատինական Ամերիկա
Latin dance,Լատինամերիկյան պարեր 
Latvia,Լատվիա
Latvian,Լատիշերեն
Law by country,Իրավունք ըստ երկրի
Law enforcement and fire service,Իրավապահ և հրշեջ ծառայություն
Laws of specific people groups,Մարդկանց հատուկ խմբերի իրավունքներ
Leafy vegetables,Տերևավոր բանջարեղեն
Lebanese,Լիբանանցի
Lebanon,Լիբանան
Legal codes,Օրենսգրքեր
Legal procedure,Իրավաբանական ընթացակարգ
Lepidoptera,Թեփուկաթևավորներ / Թիթեռներ
Lesotho,Լեսոթո
Liberal arts colleges,Ազատ արվեստի քոլեջներ
Library science and curators,Գրադարանագիտություն և գրադարանավարներ / վարիչներ
Librettists,Լիբերտիստներ
Libya,Լիբիա
Life sciences,Գիտություններ
Light music,Թեթև երաժշտություն
Liliales,
Linguistics,Լեզվաբանություն
Linguists,Լեզվաբաններ
Lipids,Լիպիդներ
Literary genres,Գրական ժանրեր
Literary novels and short stories,Գրական վեպեր և կարճ պատմություններ
Literature,Գրականություն
Literature and drama,Գրականություն և դրամա
"Literatures by religion, language and area","Գրականություն ըստ կրոնի, լեզվի և տարածքի"
Lithuania,Լիտվա
Lithuanian,Լիտվերեն
Lizards,Մողեսներ
Logic,Լոգիկա
Lophiiformes,
Lophotrochozoa,Լոֆոտրոխոզոա
Luge,Սահնակային սպորտ
Luminous flux,Լուսային հոսք
Luminous intensity,Լույսի ուժ
Lutenists,Լյուտնյա նվագողներ
Luxembourg,Լյուքսեմբուրգ
Macau,Մակաո
Macedonia,Մակեդոնիա
Macedonian,Մակեդոներեն
Machinery,Մեխանիզմ
Machinery and tools,Սարքավորումներ և գործիքներ
Madagascar,Մադագասկար
Magazines,Ամսագրեր
Magic,Մոգություն
Magicians,Կախարդներ / մոգեր
Magnetic field,Մագնիսական դաշտ
Magnetic flux,Մագնիսական հոսք
Magnetostatics,Մագնիսաստատիկա
Main branches,Հիմնական մասնաճյուղեր
Major religions,Հիմնական կրոններ
Malawi,Մալավի
Malaysia,Մալայզիա
Malaysia,Մալայզիա
Maldives,Մալդիվներ
Mali,Մալի
Malpighiales,
Malvales,Փիփերթածաղկավորներ
Mammals,Կաթնասուններ
Mandolinists,Մանդոլինահարներ
Manga,Մանգա
Maori art,Մաորի արվեստ/Նորզելանդական արվեստ
Marriage and parenting,Ամուսնություն և դաստիարակություն
Marshall Islands,Մարշալյան կղզիներ
Marsupials,Պարկավորներ
Martial arts,Մարտական արվեստներ
Martial arts (85/85 quota),Մարտական արվեստներ (85/85 մաս)
Martinique,Մարտինիկա
Mass and weight,Զանգված և կշիռ
Mass Media,Զանգվածային լրատվության միջոցներ
Mass media companies,Զանգվածային լրատվական ընկերություններ
Material and chemical,Նյութ և քիմիա 
Mathematical analysis,Մաթեմատիկական անալիզ/վերլուծություն 
Mathematical logic,Մաթեմատիկական տրամաբանություն
Mathematicians,Մաթեմատիկոսներ
Measurement,Չափումներ
Measurement,Չափումներ
Measurement systems,Չափման համակարգեր
Measuring instruments,Չափման գործիքներ
Meat and other animal products,Միս և այլ կենդանական մթերքներ
Media and communication,Մեդիա և հաղորդակցություն
Media and communication,Մեդիա և հաղորդակցություն
Media companies,Մեդիաընկերություններ
Medical procedures,Բժշկական ընթացակարգ
Medical technology,Բժշկական տեխնոլոգիա
Medicine,Բժշկություն/բժշկագիտություն
Medieval,Միջնադար
Medieval art,Միջնադարի արվեստ
Medieval era,Միջնադարյան դարաշրջան
Melanesia,Մելանեզիա
Melee weapons,
Melons,Սեխ
Memory sports,Հիշողության սպորտ
Mental disorders,Հոգեկան հիվանդություններ
Mesopotamian mythology,Միջագետքի դիցաբանություն
Metallurgy,Մետալուրգիա
Metaphysics,Մետաֆիզիկա
Meteorology,Օդերևութաբանություն
Mexican,Մեքսիկացի
Mexico,Մեքսիկա
Micronations,Միկրոազգեր
Micronesia,Միկրոնեզիա
Middle East,Միջին Արևելք
Midwest,Միջին Արևմուտք
Military,Բանակ
Military aviation,Ռազմական ավիացիա
Military forces,Զինված ուժեր
"Military leaders, personnel, and theorists","Զինվորական ղեկավարներ, անձնակազմ և վերլուծաբաններ"
Military operations,Ռազմական գործողություններ
Military organization,Ռազմական կազմակերպություններ
Military ranks,Զինվորական կոչումներ
Military technology,Ռազմական տեխնոլոգիաներ
Milky Way,Ծիր կաթին
Mime artists,Միմոս
Mindanao,Մինդանաո
Miniature Cattle,Մանր եղջերավոր կենդանի
Mining and metallurgy,Հանքարդյունաբերություն և մետալուրգիա
Mining companies,Հանքարդյունաբերական ընկերություններ
Miscellaneous,Տարբեր
Mixed martial arts,Ընդհանուր մենամարտեր
Mixed-use buildings,Խառը օգտագործման շինություններ
Models,Մոդելներ
Modern art,Ժամանակակից արվեստ
Modern dance,Ժամանակակից պարեր
Modern era,Ժամանակակից դարաշրջան
Modern history,Ժամանակակից պատմություն
Modern music,Ժամանակակից երաժշտություն
Modern pentathlon,Ժամանակակից հնգամարտ
Modern visual arts,Ժամանակակից կերպարվեստ
Moldova,Մոլդովա
Molecular physics,Մոլեկուլային ֆիզիկա
Mollusks,Փափկամարմիններ
Momentum/impulse,Իմպուլս
Monaco,Մոնակո
Monarchs,Միապետեր
Mongolia,Մոնղոլիա
Monocots,Միաշաքիլավորներ
Monotremes,Միանցքանիներ
Monster truck,Մոնստր Տրակ
Morbidity,Հիվանդություն
Mormonism,Մորմոնիզմ
Motocross,Մոտոկրոս
Motor racing,Մոտոարշավ
Mountain peaks,Լեռնագագաթներ
Mozambique,Մոզամբիկ
Mugiliformes,Կեֆալանմաններ
Multi-modal crossings,Բազմամոդել անցումներ
Multiple industries,Բազմաթիվ արդյունաբերություններ
Multiple sports,Բազմաթիվ սպորտձևեր
Multivariable and vector calculus,Բազմաբևեռ և վեկտորի հաշվարկ
"Murder, serial killing, mass murder","Սպանություն, սերիական մարդասպան, զանգվածային սպանություն"
Muscular system,Մկանային համակարգ
Museums,Թանգարաններ
Music,Երաժշտություն
Music awards,Երաժշտական մրցանակաբաշխություններ
Music genres and forms,Երաժշտական ժանրեր և ոճեր
Music of Africa,Աֆրիկյան երաժշտություն
Music of Asia,Ասիական երաժշտություն
Music of Europe,Եվրոպական երաժշտություն
Music of the Americas,Ամերիկյան երաժշտություն
"Music producers, songwriters and businesspeople","Երաժտական պրոդյուսերներ, երգահաններ և գործարարներ"
Music theory,Երաժշտության տեսություն
Musical,Մյուզիքլ
Musical comedy and lyricists,Երաժշտական կոմեդիա և քնարերգուներ
Musical instruments,Երաժշտական գործիքներ
Musical notation,Երաժշտական նոտացիա
Musical theatre,Մյուզիքլ
Musicals,Մյուզիքլներ
"Musicians and composers (1,500/1,500 article quota)",Երաժիշտներ և կոմպոզիտորներ
Mustelidae,Կզաքիսներ
Myanmar,Մյանմա
Myctophiformes (2 articles,
Myriapoda,Բազմոտանիներ
Myrtales,Մրտենածաղկավորներ
Mythological creatures,Դիցաբանական արարածներ
Mythological items,Դիցաբանական իրեր
Mythological places,Դիցաբանական վայրեր
Mythology,Դիցաբանություն
N. Korea,Հյուսիսային Կորեա
Namibia,Նամիբիա
Narrative,Պատմություն
National coat of arms,Ազգային զինանշան
National flags,Ազգային դրոշ
National organizations,Ազգային կազմակերպություններ
Nationalist China,Ազգայնական Չինաստան
Native American,Բնիկ ամերիկյան
Native American mythology,Բնիկ ամերիկյան դիցաբանություն
Nauru,Նաուրու 
Naval transport,Ծովային տրանսպորտ 
Naval warfare,Ծովային պատերազմ 
Navigation and timekeeping,Նավարկություն և ժամանակի չափում 
Nepal,Նեպալ
Nervous system,Նյարդային համակարգ 
Netball,Նեթբոլ 
Netherlands,Նիդերլանդներ
Netherlands,Նիդերլանդներ
Netherlands Antilles,Նիդերլանդական  Անթիլներ 
Networks,Ցանցեր
Neurotransmitters,Նյարդափոխադրողներ
New Age,Նոր դար
New religious movements,Նոր կրոնական շարժումներ
New Testament figures,Նոր Կտակարանի գործիչներ
New World monkeys,Նոր աշխարհի կապիկներ
New Zealand,Նոր Զելանդիա
News agencies,Լրատվական գործակալություններ 
Newspapers,Թերթեր
Nicaragua,Նիկարագուա 
Niche sports (30/30 quota),
Niger,Նիգեր
Niger–Congo languages,Նիգերոկոնգոլեզյան լեզուներ 
Nigeria,Նիգերիա
Non-English language popular music,Ոչ անգլերեն լեզվով փոփ երաժշտություն
Non-fiction,Վավերագրական 
Non-governmental organizations,Հասարակական կազմակերպություններ 
Non-monocots,Ոչ միաշաքիլավորներ
Non-theistic philosophies,Ոչ թեիստական փիլիսոփայություններ 
Non-Western art,Ոչ արևմտյան արվեստ
Non-Western art music,Ոչ արևմտյան արվեստի երաժշտություն 
Non-Western art traditions,Ոչ արևմտյան արվեստի ավանդույթներ 
Nonfiction,Ոչ գեղարվեստական 
Nonfiction of antiquity,Հին ժամանակների գիտական փաստեր 
Nonfiction of early printed book era,Ոչ գեղարվեստական գրականությունը վաղ տպագիր գրքերի դարաշրջանում 
Nonfiction of modern era,Ժամանակակից դարաշրջանի ոչ գեղարվեստական գրականություն
Nonfiction of the medieval era,Միջնադարի ոչ գեղարվեստական գրականություն
Nordic countries,Հյուսիսային երկրներ
Norse mythology,Սկանդինավյան դիցաբանություն
North Africa,Հյուսիսային Աֆրիկա 
North America,Հյուսիսային Ամերիկա 
North America and Central America,Հյուսիսային Ամերիկա և Կենտրոնական Ամերիկա
North and Central America,Հյուսիսային և Կենտրոնական Ամերիկա
North Caucasus,Հյուսիսային Կովկաս
North China,Հյուսիսային Չինաստան
Northeast,Հյուսիս֊արևելք
Northern India,Հյուսիսային Հնդկաստան
Northern Ireland,Հյուսիսային Իռլանդիա
Northwest,Հյուսիս֊արևմուտք
Northwest China,Հյուսիսարևմտյան Չինաստան
Norwegian,Նորվեգերեն 
Notable extrasolar planets,Ուշագրավ արտաարեգակնային մոլորակներ 
Notable galaxies,Ուշագրավ գալակտիկաներ 
Notable galaxy clusters,Ուշագրավ գալակտիկական խմբեր 
Notable legal decisions,Ուշագրավ իրավական որոշումներ
Notable nebulae,Ուշագրավ միգամածություններ
Notable star clusters,Հայտնի աստղային խմբեր
Notable stars,Հայտնի աստղեր
Notable transient events,Ուշագրավ անցողիկ իրադարձություններ
Nuclear physics,Միջուկային ֆիզիկա
Nucleic acids,Նուկլեինաթթուներ
Nuts,Ընկույզ 
Oases and springs,Օազիսներ և ջրհորներ
Oboists,Հոբոյ նվագողներ
Observational astronomy,Դիտորդական աստղագիտություն 
Oceanic and coastal landforms,Օվկիանոսի և ափամերձ հողեր
Oceanography,Օվկիանոսագիտություն
Oceans and seas,Օվկիանոսներ և ծովեր
Odd-toed ungulates,Միասմբակավորներ
Odonata,Ճպուռներ
Oil companies,Նավթային ընկերություններ
